id,station_id,latitude,longitude,elevation
1,52GQ6,29.6586,-81.6889,15
2,69052,30.42,-86.68,12
3,72201,24.55,-81.1,1
4,72202,25.7833,-80.3167,4
5,72203,26.6833,-80.1,6
6,72204,28.1,-80.65,10
7,72205,28.41822,-81.32413,29
8,72206,30.5,-81.0333,9
9,72210,27.7,-82.4,12
10,72211,27.9667,-82.5333,8
11,72212,29.6333,-83.1,13
12,72213,31.25,-82.4,46
13,72214,30.4,-84.0167,25
14,72220,29.7167,-85.0167,6
15,72221,30.4833,-86.5167,26
16,72222,30.3533,-87.318,9
17,74756,29.6901,-82.2718,46
18,74775,30.0667,-85.5833,5
19,74776,30.8378,-85.1819,34
20,74777,30.4167,-86.6833,12
21,74781,30.9667,-83.2,71
22,74782,30.3363,-81.5144,13
23,74783,26.0726,-80.1527,3
24,74787,29.1799,-81.0581,10
25,74788,27.85,-82.5,4
26,74793,27.6561,-80.4181,44
27,74794,28.4667,-80.5667,3
28,74795,28.2333,-80.6,3
29,74796,27.65,-81.3333,20
30,DFSW4,30.7311,-86.1538,88
31,F5PS0,31.00697,-84.87761,45
32,G93KN,30.84389,-85.60175,26
33,GDDIA,24.58009,-81.68293,2
34,INGE8,30.59787,-84.55743,69
35,JY84X,25.91,-80.28306,3
36,K0J40,31.0425,-86.3116,96
37,K2CB0,29.9669,-81.9832,60
38,K40J0,30.0693,-83.5806,13
39,K42J0,29.8448,-82.0475,60
40,K79J0,31.3087,-86.3938,95
41,KAPF0,26.1523,-81.7758,2
42,KBCT0,26.3785,-80.1077,4
43,KBGE0,30.9716,-84.6369,43
44,KBIJ0,31.3975,-84.8948,65
45,KBKV0,28.4736,-82.4554,23
46,KBOW0,27.9434,-81.7834,38
47,KBQK0,31.259,-81.4663,8
48,KCEW0,30.7788,-86.5221,65
49,KCGC0,28.8673,-82.5713,2
50,KCLW0,27.9767,-82.7587,21
51,KCXU0,31.2132,-84.2352,54
52,KDED0,29.067,-81.2837,24
53,KDHN0,31.321,-85.4495,122
54,KDQH0,31.4767,-82.8606,78
55,KDTS0,30.4001,-86.4715,7
56,KECP0,30.3582,-85.7956,21
57,KEDN0,31.2997,-85.8998,110
58,KEGI0,30.6503,-86.5229,59
59,KEVB0,29.0557,-80.9489,3
60,KF450,26.8459,-80.2224,7
61,KFHB0,30.6118,-81.4612,5
62,KFMY0,26.5866,-81.8632,5
63,KFPR0,27.4975,-80.3726,7
64,KFXE0,26.1973,-80.1707,4
65,KGZH0,31.4158,-87.0441,79
66,KHEG0,30.2778,-81.8059,26
67,KHOE0,31.0559,-82.7741,57
68,KHST0,25.4884,-80.3837,2
69,KHWO0,26.0012,-80.2407,2
70,KIMM0,26.4338,-81.4014,11
71,KINF0,28.8036,-82.3183,20
72,KISM0,28.2898,-81.4371,25
73,KJKA0,30.2896,-87.6718,5
74,KLAL0,27.9889,-82.0186,43
75,KLCQ0,30.1821,-82.5769,61
76,KLEE0,28.8229,-81.8084,23
77,KLNA0,26.5931,-80.0851,4
78,KLOR0,31.3558,-85.7512,90
79,KMGR0,31.0849,-83.8033,90
80,KMKY0,25.995,-81.6725,2
81,KMTH0,24.7262,-81.0514,2
82,KNDZ0,30.6986,-87.0144,54
83,KNEN0,30.3502,-81.8832,30
84,KNFJ0,30.5069,-86.9597,31
85,KNRB0,30.3914,-81.4245,5
86,KNSE0,30.7225,-87.0239,61
87,KOBE0,27.2666,-80.8504,10
88,KOCF0,29.1719,-82.2241,27
89,KOMN0,29.3006,-81.1136,8
90,KORL0,28.5455,-81.3329,34
91,KOZR0,31.2758,-85.7134,92
92,KPCM0,28.0002,-82.1633,46
93,KPFN0,30.2121,-85.6828,6
94,KPGD0,26.9189,-81.9909,8
95,KPIE0,27.91,-82.6874,3
96,KPMP0,26.2471,-80.1111,6
97,KQGE0,30.4,-86.67,11
98,KRSW0,26.5362,-81.7552,9
99,KSEF0,27.4564,-81.3424,19
100,KSFB0,28.7767,-81.2355,17
101,KSGJ0,29.9593,-81.3397,3
102,KSPG0,27.7651,-82.627,2
103,KSRQ0,27.3954,-82.5544,9
104,KSSI0,31.1518,-81.3913,6
105,KSUA0,27.1817,-80.2213,5
106,KSXS0,31.3627,-85.8494,122
107,KTIX0,28.5148,-80.7992,10
108,KTMA0,31.429,-83.4885,108
109,KTMB0,25.6479,-80.4328,3
110,KTPF0,27.9156,-82.4493,2
111,KTTS0,28.6149,-80.6944,2
112,KTVI0,30.9018,-83.8811,81
113,KVDF0,28.014,-82.3453,6
114,KVLD0,30.7814,-83.2762,62
115,KVNC0,27.0716,-82.4403,6
116,KVQQ0,30.2187,-81.8767,24
117,KVRB0,27.6556,-80.4179,7
118,KVVG0,28.95,-81.9667,27
119,KX070,27.8938,-81.6204,38
120,KX600,29.3557,-82.4717,23
121,KXFL0,29.4674,-81.2063,10
122,KZPH0,28.2281,-82.1559,27
123,NFUKD,30.23468,-81.67462,7
124,OZNF7,30.47806,-87.18694,38
125,QZ5US,26.73517,-81.05106,6
126,TMSWZ,31.36414,-85.31253,109
127,VFP98,30.3001,-83.0247,32
128,YZNBG,27.81325,-80.49558,6
